,Quarter,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,BookValuePerShare,ReturnOnEquity,QoQGrowthRate_OperatingProfit,QoQGrowthRate_OrdinaryProfit,QoQGrowthRate_Profit,QoQGrowthRate_EarningsPerShare,QoQGrowthRate_BookValuePerShare,QoQGrowthRate_ReturnOnEquity
0,2018/4Q,3920000000,-210000000,-201000000,-592000000,-19.13,54.22,-31.2,,,,,,
1,2019/1Q,808000000,-67000000,-58000000,-169000000,-5.41,32.87,-16.0,,,,,,
3,2019/2Q,1924000000,2000000,23000000,-111000000,-3.56,33.7,-10.3,,,,,,
4,2019/3Q,3017000000,-20000000,1000000,-130000000,-4.16,32.71,-12.4,,,,,,
5,2019/4Q,4040000000,-77000000,-47000000,-156000000,-4.95,43.08,-10.9,80.1,119.4,77.0,78.4,-7.8,40.9
6,2020/1Q,874000000,-105000000,-66000000,-344000000,-10.59,31.71,-32.6,-18.6,-5.8,-23.6,-22.3,-0.8,-25.1
7,2020/2Q,1889000000,-97000000,-51000000,-346000000,-10.66,33.21,-31.6,-33.1,-44.8,-24.1,-23.4,-0.3,-24.3
9,2020/3Q,2859000000,-119000000,-68000000,-367000000,-11.29,32.53,-34.2,-24.9,-29.7,-19.5,-19.0,-0.1,-19.9
10,2020/4Q,4033000000,-105000000,-49000000,-348000000,-10.72,33.16,-31.8,-6.6,-0.9,-13.7,-13.3,-7.6,-16.1
11,2021/1Q,1097000000,29000000,30000000,56000000,1.72,34.76,5.0,38.3,48.5,35.8,35.8,2.3,36.6
12,2021/2Q,2452000000,141000000,142000000,164000000,5.07,38.08,13.2,60.4,66.8,54.5,54.6,3.5,53.2
13,2021/3Q,3669000000,200000000,200000000,217000000,6.68,39.68,16.7,67.2,63.7,74.4,74.3,4.9,76.3
15,2021/4Q,4894000000,187000000,182000000,85000000,2.64,35.76,7.3,52.4,41.7,83.0,82.9,1.8,92.7
16,2022/1Q,979000000,-53000000,-55000000,-64000000,-1.97,33.82,-5.8,-14.1,-14.7,-22.6,-22.6,-0.6,-25.1
17,2022/2Q,2349000000,-59000000,-54000000,-68000000,-2.1,33.69,-6.2,-40.1,-39.9,-53.5,-53.5,-3.1,-53.9
18,2022/3Q,3631000000,-79000000,-75000000,-85000000,-2.64,33.16,-7.9,-73.8,-75.1,-100.0,-99.7,-4.8,-90.4
19,2022/4Q,4988000000,-75000000,-74000000,-107000000,-3.31,32.44,-10.1,-98.5,-99.2,-59.3,-59.4,-2.5,-58.0
20,2023/1Q,1053000000,-7000000,-11000000,5000000,0.18,32.61,0.5,20.9,20.6,26.0,26.1,-0.9,25.5
21,2023/2Q,2305000000,53000000,49000000,55000000,1.7,34.2,4.9,52.3,49.3,48.8,48.5,0.4,47.4
22,2023/3Q,3570000000,56000000,50000000,48000000,1.47,40.17,3.2,70.7,67.9,61.9,61.7,5.0,59.4
23,2023/4Q,4817000000,52000000,44000000,113000000,3.31,41.82,7.2,75.6,76.6,99.5,99.4,6.3,109.5
