,Quarter,OrdinaryProfit,QoQGrowthRate_OrdinaryProfit
0,2019/1Q,-58000000,
2,2019/2Q,23000000,
3,2019/3Q,1000000,
4,2019/4Q,-47000000,
5,2020/1Q,-66000000,-5.8
6,2020/2Q,-51000000,-44.8
8,2020/3Q,-68000000,-29.7
9,2020/4Q,-49000000,-0.9
10,2021/1Q,30000000,48.5
11,2021/2Q,142000000,66.8
12,2021/3Q,200000000,63.7
14,2021/4Q,182000000,41.7
15,2022/1Q,-55000000,-14.7
16,2022/2Q,-54000000,-39.9
17,2022/3Q,-75000000,-75.1
18,2022/4Q,-74000000,-99.2
19,2023/1Q,-11000000,20.6
20,2023/2Q,49000000,49.3
21,2023/3Q,50000000,67.9
22,2023/4Q,44000000,76.6
