,Quarter,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents
0,2018/4Q,23445000000,-6869000000,-5899000000,32076000000
1,2018/4Q,25152000000,-8688000000,-5890000000,31958000000
2,2019/1Q,5249663000,-2141406000,-2096880000,32892657000
3,2019/2Q,13393901000,-4087434000,-7138625000,34036458000
5,2019/3Q,25051219000,-6460854000,-14153691000,36350802000
6,2019/4Q,33394000000,-7265000000,-19354000000,38672000000
7,2020/1Q,11635067000,-4592482000,-6802040000,38892573000
8,2020/2Q,21498137000,-6546711000,-11969247000,41602490000
9,2020/3Q,31399102000,-8917905000,-19031118000,41970420000
10,2020/4Q,40544000000,-13216000000,-23618000000,42467000000
11,2021/1Q,7653642000,-6414065000,-8875385000,34831385000
12,2021/2Q,18865173000,-8185436000,-13401663000,39795023000
13,2021/3Q,30370131000,-9832361000,-22239624000,40960126000
14,2021/4Q,43573000000,-11838000000,-27296000000,47391000000
15,2022/1Q,4855000000,-2366000000,-7875000000,42557000000
16,2022/2Q,13457000000,-7219000000,-12601000000,42068000000
17,2022/3Q,27314000000,-13160000000,-20766000000,41327000000
18,2022/4Q,38529000000,-18386000000,-25731000000,42472000000
19,2023/1Q,5016000000,-6366000000,-4535000000,37266000000
20,2023/2Q,16051000000,-9066000000,-7844000000,42587000000
21,2023/3Q,27587000000,-13060000000,-16065000000,41419000000
