,Quarter,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,ReturnOnEquity
0,2019/1Q,808000000,-67000000,-58000000,-169000000,-5.41,-16.0
2,2019/2Q,1924000000,2000000,23000000,-111000000,-3.56,-10.3
3,2019/3Q,3017000000,-20000000,1000000,-130000000,-4.16,-12.4
4,2019/4Q,4040000000,-77000000,-47000000,-156000000,-4.95,-10.9
5,2020/1Q,874000000,-105000000,-66000000,-344000000,-10.59,-32.6
6,2020/2Q,1889000000,-97000000,-51000000,-346000000,-10.66,-31.6
8,2020/3Q,2859000000,-119000000,-68000000,-367000000,-11.29,-34.2
9,2020/4Q,4033000000,-105000000,-49000000,-348000000,-10.72,-31.8
10,2021/1Q,1097000000,29000000,30000000,56000000,1.72,5.0
11,2021/2Q,2452000000,141000000,142000000,164000000,5.07,13.2
12,2021/3Q,3669000000,200000000,200000000,217000000,6.68,16.7
14,2021/4Q,4894000000,187000000,182000000,85000000,2.64,7.3
15,2022/1Q,979000000,-53000000,-55000000,-64000000,-1.97,-5.8
16,2022/2Q,2349000000,-59000000,-54000000,-68000000,-2.1,-6.2
17,2022/3Q,3631000000,-79000000,-75000000,-85000000,-2.64,-7.9
18,2022/4Q,4988000000,-75000000,-74000000,-107000000,-3.31,-10.1
19,2023/1Q,1053000000,-7000000,-11000000,5000000,0.18,0.5
20,2023/2Q,2305000000,53000000,49000000,55000000,1.7,4.9
21,2023/3Q,3570000000,56000000,50000000,48000000,1.47,3.2
22,2023/4Q,4817000000,52000000,44000000,113000000,3.31,7.2
